Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/kl	loss/entropy	loss/rew_loss	loss/cost_loss	loss/optim_A	loss/optim_B	loss/optim_C	loss/optim_Q	loss/optim_R	loss/optim_S	loss/optim_lam	loss/optim_nu	loss/optim_case	loss/step_size	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
24400	1.5	20.0	9325.239274004627	-1828.1613234649972	466.2619637002314	1220.0	0.009406034601852298	0.8742821961641312	0.014890026635200115	466.26090240478516	0.011853375239297748	-5992447200.0	464.76090240478516	0.021965441294014454	0.0007186278380686417	7.268968874996062e-05	0.0	21.42334794998169	0.0	0.16245063680000008	421.45616149902344	15.119624555110931	436.57579040527344	4.0	-1666.4475284388257	463.6038132220084	1220.0	69.45575094223022	7.7879719734191895	313.3036441743582	32.91537284851074	28.752406120300293	395.66853887085006	1549.0	24400.0
48800	1.5	40.0	18547.834496877673	-1680.925092861454	461.1297611436523	1220.0	0.0062554372707381845	0.8475973904132843	0.005925770886815229	461.1281051635742	-0.2286219499073923	-3940709447.9999995	459.6281051635742	0.018875296460464597	0.001938152825459838	0.00048490907283849083	0.0	14.393811225891113	0.0	0.3096723456000001	148.67606353759766	2.2259719371795654	150.90203094482422	8.0	-1608.0517910316576	455.72278385926177	1220.0	134.4185118675232	13.177503824234009	370.32810349297455	66.39285278320312	54.84815526008606	402.5040766947098	1548.0	48800.0
73200	1.5	60.0	27621.323050607367	-1628.6174843529711	453.6744276864848	1220.0	0.008697225945070386	0.8173503428697586	0.001940114127993553	453.6727828979492	0.017622805200517178	-1210664720.0	452.1727828979492	0.018864791840314865	0.00044270291982684284	0.00017914931231644005	0.0	10.812108278274536	0.0	0.22363013120000008	47.17219924926758	2.131426364183426	49.30362606048584	12.0	-1578.3183777890567	462.7644476941689	1220.0	202.12588691711426	18.897454738616943	387.35375219825676	100.64925169944763	82.57918047904968	399.5013171792579	1547.0	73200.0
97600	1.5	80.0	36783.97418277907	-1589.939784264123	458.1325566085851	1220.0	0.008204152924008667	0.7615698873996735	0.011903440546030097	458.13079833984375	-0.014850184437818825	-1120873664.0	456.63079833984375	0.012971944408491254	0.0020873593457508832	0.00020691849567811005	0.0	10.229440689086914	0.0	0.16916152320000008	47.68207263946533	1.8431404829025269	49.52521324157715	16.0	-1372.4074327956034	449.45648078050374	1220.0	267.7547929286957	25.13814067840576	388.25464957255423	130.71583580970764	111.90081644058228	402.28071360622516	1546.0	97600.0
122000	1.5	100.0	45685.65871892551	-1392.5359181790666	445.0842268073217	1220.0	0.012481949641369283	0.8166584521532059	0.009088108957302055	445.0823669433594	0.005264772102236748	-859049688.0	443.5823669433594	0.014691871358081698	0.0015734018088551238	0.00028851742536062375	0.0	9.083104491233826	0.0	0.12247367680000006	35.485093116760254	2.14972323179245	37.63481616973877	20.0	-1173.541461655192	434.03330837111497	1220.0	331.0853090286255	32.355501651763916	377.0610677376067	161.27942180633545	137.45038557052612	408.39580446048797	1545.0	122000.0
146400	1.5	120.0	54358.32723916416	-1258.8366598883044	433.63342601193256	1220.0	0.006472204462625086	0.880813330411911	0.0027354291240688777	433.6317901611328	0.01730885566212237	-749851616.0	432.1317901611328	0.0176335743162781	0.0001818801392801106	0.00026372974025434814	0.0	8.902398943901062	0.0	0.2011430912000001	30.012138843536377	2.40003764629364	32.41217613220215	24.0	-1153.0622957390729	428.37685661410467	1220.0	386.50826382637024	37.29634356498718	392.53177659333994	190.22350788116455	158.9884123802185	419.22967546589035	1544.0	146400.0
170800	1.5	140.0	62910.387882185954	-1215.4128244928245	427.6030321510899	1220.0	0.01134647917933762	0.7774922400712967	0.003550422139175724	427.601318359375	0.014005907578393817	-1109771568.0	426.101318359375	0.015636715106666088	0.0005232665353105403	0.00017135444068117067	0.0	10.993380069732666	0.0	0.13295943680000008	27.820589542388916	2.473245918750763	30.293835163116455	28.0	-1119.9910002212462	419.13194525547607	1220.0	464.1335790157318	45.765679597854614	373.20542708166556	226.13030815124512	192.23759126663208	408.253119413926	1543.0	170800.0
195200	1.5	160.0	71326.66160405878	-1168.3057467231542	420.8136860936417	1220.0	0.007825716747902334	0.7440291941165924	-0.004647785701071383	420.81262969970703	0.01333444775082171	-886886976.0	419.31262969970703	0.014658280182629824	0.00032874636235646904	0.00023559153123642318	0.0	9.830625772476196	0.0	0.18964152320000008	25.056828498840332	2.4557917714118958	27.512619972229004	32.0	-1120.9237927547854	421.17483228213246	1220.0	559.671599149704	53.24025845527649	366.63984297516924	266.2685968875885	240.162743806839	385.44218004426494	1542.0	195200.0
219600	1.5	180.0	79828.92014497188	-1186.2935349531294	425.1129270456551	1220.0	0.013136306777596474	0.8230087459087372	0.001830236479567482	425.10941314697266	0.016805141931399703	-289694748.0	423.60941314697266	0.01607492472976446	0.0006123344101069961	-8.729482942726463e-06	2.954634510388132e-06	4.62732207775116	0.25	0.1829306368000001	25.12644052505493	2.1403056979179382	27.266746520996094	36.0	-1102.3943441423687	412.1875669890612	1220.0	631.9834671020508	57.53627872467041	381.67223335881107	306.5599386692047	267.88724970817566	382.28057242354333	1541.0	219600.0
244000	1.5	200.0	88394.90357234604	-1205.4030743911687	428.299171368708	1220.0	0.007047674851492047	0.8001675605773926	0.007669548858567854	428.2969665527344	0.009615164948627353	-1267864952.0	426.7969665527344	0.012751155765727162	0.0011290822585579008	0.0004609251918736845	0.0	9.878199458122253	0.0	0.12247367680000006	28.647328853607178	1.8659112453460693	30.513239860534668	40.0	-1019.6812127280054	386.00935563240074	1220.0	698.0457708835602	66.04438066482544	369.4485398209691	336.18594765663147	295.81544256210327	386.0751001125994	1540.0	244000.0
