Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/estep_loss	estep/dual0	estep/dual1	estep/estep_time	mstep/mstep_kl_mu	mstep/mstep_kl_std	mstep/mstep_loss_kl	mstep/mstep_loss_mle	mstep/mstep_loss_total	mstep/mstep_dual_mu	mstep/mstep_dual_std	mstep/entropy	mstep/mstep_time	loss/loss_q0	estep/val_q0	loss/loss_q1	estep/val_q1	estep/thres_q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
6100	1.5	5.0	    2336.8586617462092	-1919.1285046039338	467.3717323492418	1220.0	-121.10596511528261	4.049830906899251	8.759985274650514	8.98025026282326	0.006818242974745993	0.000517983211311282	-0.00038050881407723926	0.04558716183680983	0.045206653033612224	0.20759425797789816	0.22777977270974967	2.864793303364612	1.7624955861294842	9.320108213971864	-30.592539384716844	0.14449443132616585	8.222340740825304	0.06147540983485068	9.46460263494586	610.0	-1641.3040775978955	464.93569872855755	1220.0	37.13038682937622	4.225724935531616	577.4157185394359	6.301780939102173	26.60288095474243	185.38406562813253	199999.0	6100.0
12200	1.5	10.0	4634.803112588068	-1723.3185812904026	459.58889016837173	1220.0	-374.7747596615647	7.200058213218312	19.844559231742487	26.92592100432663	0.005210039951898732	0.0005000568966411785	-0.00012256405091006908	0.04645571155992691	0.04633314751210756	0.045952686472017217	0.1876581291622312	2.936059352608977	5.306190829980567	13.79351900131976	-58.40799345422961	0.4784671834074571	16.005805917646065	0.06147540983485068	14.271986203506334	1220.0	-1581.658178373249	462.97678323526935	1220.0	74.2041609287262	8.56496286392212	569.7631241993874	12.609899997711182	53.029298067092896	185.86454983735814	199998.0	12200.0
18300	1.5	15.0	6921.756311792035	-1656.449756232671	457.3906398407935	1220.0	-423.0834821357103	7.992526252152494	20.0	49.557741976565964	0.005105760662508013	0.0005300404671884954	-4.978560783590676e-05	0.045115589442067464	0.04506580384417635	0.013867150002815702	0.06807913385698054	2.8828429902186183	9.949528018763809	14.001946696687918	-63.43573897314852	0.6257232751178201	18.0584286517784	0.06147540983485068	14.627669961335217	1830.0	-1337.277017397639	451.6345752554369	1220.0	128.23454308509827	14.234153985977173	514.2560637752918	20.921385049819946	93.07900404930115	160.5257678909193	199997.0	18300.0
24400	1.5	20.0	9163.300686754821	-1491.9825424264532	448.3088749925572	1220.0	-429.18430616034834	9.468331904489494	20.0	72.85951041354512	0.00382265911407432	0.0006699476992238129	-0.00010004653551553275	0.048113458157807126	0.048013411706588266	0.017054299814779236	0.2616454957816446	2.902484231307858	14.94645759903016	12.382885645647525	-61.16213120632484	0.6324450960016397	18.487066425260963	0.06147540983485068	13.015330743007976	2440.0	-1300.3696963196155	442.43957449854713	1220.0	175.4105577468872	18.3804931640625	530.997722035159	27.99153184890747	129.03853273391724	155.38425756126685	199996.0	24400.0
30500	1.5	25.0	11400.901635163536	-1472.5684215957403	447.520189681743	1220.0	-425.72670453181036	10.864462019185549	20.0	95.86567184182472	0.0045580548842148755	0.0005133437618735385	-0.00011905223257060956	0.04765077145373238	0.04753171926761262	0.02451169568984232	0.2616000042037398	2.867184048402506	20.07639596540421	10.958973018458636	-58.04616946861393	0.5982288013716219	18.471227333193944	0.06147540983485068	11.557201829894645	3050.0	-1205.3402538142022	426.0862265098052	1220.0	221.39062905311584	22.207513093948364	549.3636297044242	36.28963279724121	162.89348316192627	153.1254285943217	199995.0	30500.0
36600	1.5	30.0	13594.670114615212	-1407.4380540443028	438.75369589033517	1220.0	-416.20876910100196	11.197822956960723	20.0	113.07558147399149	0.004220675048251725	0.0005342593260078888	-6.415330632289173e-05	0.04666224640534549	0.046598093095617195	0.015182475257115278	0.1654944942867169	2.8734226449591245	23.661586837299527	11.323556185550363	-54.930757535090194	0.634819649816415	18.14941708611662	0.06147540983485068	11.958375812358543	3660.0	-1137.549449613725	402.73474580597906	1220.0	257.2143108844757	27.327186107635498	535.7302410257832	42.1139554977417	187.7731692790985	159.20856827249003	199994.0	36600.0
42700	1.5	35.0	15770.743865660317	-1392.3893985124344	435.21475020902096	1220.0	-410.1745355324668	11.77073400528703	20.0	130.32473643412354	0.0042107871202725165	0.0005174319717849867	-0.00021123642594472167	0.04693696572765951	0.04672572929106775	0.055316749764759005	0.20702661502434583	2.882403924426093	27.233506521631448	10.707400875404224	-52.787627166998206	0.5393497369389548	17.955207311911657	0.06147540983485068	11.24675059787562	4270.0	-969.0627881947437	363.4207444180645	1220.0	292.448264837265	31.13764190673828	548.5322251170162	48.25383949279785	213.05678343772888	163.40705755139706	199993.0	42700.0
48800	1.5	40.0	17900.782292164113	-1306.4843554588329	426.00768530075914	1220.0	-403.12960550276955	12.12787905677419	20.0	146.8381057575099	0.004962579097324387	0.000563365528283671	-0.0002475935820833182	0.04681268997612551	0.04656509638565485	0.06735116434512561	0.17324474156513564	2.8918966598198073	30.59212241759065	11.59279680017565	-50.357123734521025	0.527328558257003	17.727637997611627	0.06147540983485068	12.120125342587956	4880.0	-637.1677323609482	288.7961209062787	1220.0	326.0129897594452	34.946093797683716	558.5745895666834	53.95539331436157	237.1115026473999	167.65905253069738	199992.0	48800.0
54900	1.5	45.0	19937.25920180417	-1128.2783582569045	407.29538192801107	1220.0	-387.9896692995169	11.370403228822306	20.0	163.18663948481176	0.004931795664609754	0.0005148136371853541	-0.0001522381543076872	0.04561843456181348	0.04546619641487715	0.04790635585296348	0.09460219957667287	2.8829774735403837	33.868494317179795	10.06975467947663	-45.73701969834628	0.47793368284025645	17.2016564353568	0.06147540983485068	10.547688343094993	5490.0	-746.8655198105781	315.2634801672624	1220.0	359.3370931148529	38.597644090652466	568.9466421428102	59.58871412277222	261.1507349014282	171.16697109452753	199991.0	54900.0
61000	1.5	50.0	21969.64516114059	-1165.2610159359897	406.477191867284	1220.0	-383.4234301457635	10.73549554387078	20.0	179.51406215996045	0.0031185734335566436	0.0005095231077694867	-3.134859376348413e-05	0.04571916457937389	0.04568781595005359	0.0	0.11431650767927289	2.908130415932077	37.14316075629875	8.974080537577137	-43.677369589883725	0.3787243596537681	17.069452095031718	0.06147540983485068	9.352804912504604	6100.0	-471.09593158328835	199.113460150885	1220.0	392.859760761261	42.30275511741638	576.7945830543393	65.29166507720947	285.26534056663513	174.0087889214063	199990.0	61000.0
67100	1.5	55.0	23981.44812676089	-1116.9009306620492	402.36059312406024	1220.0	-380.9306659635951	10.971663468783008	20.0	195.81675714742948	0.0031801021973680084	0.0005173406924395903	-4.8142929616184785e-05	0.04577481436436294	0.04572667140574729	0.0	0.16763940920106707	2.9091792431034023	40.40649229581239	9.456840189949423	-42.6494717394719	0.3719731364246518	16.99891181382979	0.06147540983485068	9.828813337888882	6710.0	-90.81101287545401	173.44944147155826	1220.0	426.1808989048004	45.92915415763855	584.3782776377604	70.92484092712402	309.32690382003784	176.46204370374772	199989.0	67100.0
