Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/nu_loss	loss/nu_value	loss/actor_loss	loss/kl	loss/entropy	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
24400	1.5	20.0	9325.239274004627	-1828.1613234649972	466.2619637002314	1220.0	-464.7619637002314	2.0	-0.08712241346848772	0.03917955967444094	0.9176236987113952	421.08628163439164	15.929095269517697	437.01537566489367	47.0	-1474.4668701002156	460.9498288128068	1220.0	28.270570039749146	4.058004140853882	601.2808058610253	23.43689274787903	0.7756731510162354	1007.7411911603011	1549.0	24400.0
48800	1.5	40.0	18482.276871755013	-1504.4444734120407	457.8518798875192	1220.0	-456.3518798875192	2.0	-0.07401467753980465	0.016256571838582996	0.9095795858413616	43.583914249501326	1.5526965216119242	45.13661059927429	235.0	-1144.788820238186	443.9526422557766	1220.0	57.36908006668091	8.189316034317017	595.8983606873329	46.705604553222656	2.4741594791412354	992.2780428122027	1548.0	48800.0
73200	1.5	60.0	27313.366880153477	-1221.4191892057088	441.55450041992316	1220.0	-440.05450041992316	2.0	-0.014370091120771904	0.06515772692975898	0.9063031394430933	29.399598263679664	2.1149073763096586	31.514505792171388	282.0	-671.6117863776151	376.0296086552547	1220.0	88.04942011833191	12.385430335998535	591.0170096168765	72.62347149848938	3.040518283843994	967.4351063244	1547.0	73200.0
97600	1.5	80.0	35240.34436684119	-838.5662918429483	396.3488743343859	1220.0	-394.8488743343859	2.0	0.00031141722772983816	0.04410525370958759	0.9036033660807509	15.51370060697515	2.2047712574613856	17.71847209524601	329.0	-360.28484472931007	88.36568070859344	1220.0	123.572518825531	16.31810426712036	598.1086920535002	103.68845558166504	3.5659589767456055	909.9858537463475	1546.0	97600.0
122000	1.5	100.0	41644.49042317108	-596.6939324671217	320.2073028164947	1220.0	-318.7073028164947	2.0	0.2536121697977502	0.016493445036293783	0.8853195303298059	11.195767757740425	1.920419981505009	13.116187704370374	423.0	-189.66278477989667	146.87107409783985	1220.0	153.02012300491333	21.81125521659851	559.3442412574091	126.55108761787415	4.657780170440674	929.8152027104456	1545.0	122000.0
146400	1.5	120.0	45466.49120699272	-462.55377346547436	191.1000391910821	1220.0	-189.6000391910821	2.0	-0.0047762602780688015	0.0022380062378323743	0.8388768589877067	7.488975218001832	0.7750310301780704	8.264006257057193	611.0	-4.030984955085081	332.8374568281023	1220.0	186.66356301307678	25.684207439422607	570.0000685062647	154.59784078598022	6.38151478767395	909.4333834192573	1544.0	146400.0
170800	1.5	140.0	48323.63878014853	-424.7869488720429	142.8573786577904	1220.0	-141.3573786577904	2.0	-0.006057890896432155	0.0019494351294502225	0.7789655311944635	5.401685034975092	0.4283095121066619	5.829994531387979	799.0	-2.9422160850976735	332.9561189947376	1220.0	215.711443901062	29.74268341064453	574.2588778619512	177.89559888839722	8.073161602020264	918.4338248509266	1543.0	170800.0
195200	1.5	160.0	50499.73897154528	-399.0388383251563	108.8050095698374	1220.0	-107.3050095698374	2.0	-0.007247950168366128	0.0021338284961839628	0.708197271570246	4.29190564916489	0.3865398902525294	4.6784455383077574	987.0	-1.8961861233978585	332.9974366269039	1220.0	244.07677793502808	33.72646927833557	578.7738953314869	200.6288149356842	9.7214937210083	927.9758192253526	1542.0	195200.0
219600	1.5	180.0	52113.065898632514	-369.46378129921084	80.66634635436155	1220.0	-79.16634635436155	2.0	-0.007398747458206888	0.0020881875872796546	0.6345814453794599	3.396696911213246	0.4222516569685429	3.818948574522706	1175.0	0.0	333.04063900525364	1220.0	272.9305899143219	37.743465185165405	581.8225722589748	223.6550898551941	11.532034873962402	933.7245831500906	1541.0	219600.0
244000	1.5	200.0	53492.94590354905	-347.46801575635055	68.9940002458268	1220.0	-67.4940002458268	2.0	-0.006473096654790037	0.0018415304032114758	0.5644214229380836	2.766586559884091	0.44288589678546214	3.2094724622178563	1363.0	0.0	333.04063900525364	1220.0	301.88502192497253	41.658931255340576	585.7087367519055	247.05242609977722	13.173664569854736	937.6461805659923	1540.0	244000.0
268400	1.5	220.0	54631.230792483024	-330.18195291857046	56.914244446698646	1220.0	-55.414244446698646	2.0	-0.006452358400875189	0.0018158391049315039	0.49628185147934817	2.384335595876612	0.3851297201311335	2.7694653171174073	1551.0	0.0	333.04063900525364	1220.0	333.0614311695099	45.68884229660034	587.4519609352661	272.2465651035309	15.126023769378662	933.979128116147	1539.0	268400.0
292800	1.5	240.0	55517.26030847495	-310.41646632232215	44.30147579959624	1220.0	-42.80147579959624	2.0	-0.006083051302529709	0.0017076824632896845	0.42993852527851756	1.9171633485783917	0.31965042936041	2.2368137798410777	1739.0	0.0	333.04063900525364	1220.0	370.3690869808197	53.293335914611816	549.4120324333477	296.58184909820557	20.49390196800232	923.4386389227888	1538.0	292800.0
317200	1.5	260.0	56257.17327949899	-290.8033827504918	36.99564855120198	1220.0	-35.49564855120198	2.0	-0.005717110480776334	0.0015991819705727436	0.3653275755808707	1.534154907820072	0.30405697139336707	1.8382118788171313	1927.0	0.0	333.04063900525364	1220.0	406.65218210220337	57.08197283744812	555.6920762064196	321.00530195236206	28.56490731239319	907.3999774384696	1537.0	317200.0
341600	1.5	280.0	56984.05754694264	-273.4698771939925	36.34421337218271	1220.0	-34.84421337218271	2.0	-0.004573724980644408	0.001285641857588842	0.30624644949715185	1.3363685500114522	0.2960930135338866	1.6324615643379536	2115.0	0.0	333.04063900525364	1220.0	442.891832113266	60.92645597457886	560.6759732463845	345.3906979560852	36.57467818260193	894.3218975846886	1536.0	341600.0
