Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
24400	1.5	20.0	9325.239274004627	-1828.1613234649972	466.2619637002314	1220.0	0.014095093144711269	69.94667553688483	-0.06227063958315139	-0.007639487833775415	-0.0009853897180387334	0.02960979127439057	405.49067298402184	14.706853772731547	420.19752729699957	105.04839669897203	0.9180017075640088	94.0	-1453.4138037680355	460.0138768093508	1220.0	38.64424109458923	7.763051986694336	314.3093726774077	29.358500719070435	1.522688388824463	790.1250147703038	1549.0	24400.0
48800	1.5	40.0	18478.36126564468	-1487.0463134934403	457.65609958200264	1220.0	0.04120607883437378	23.26826401074125	-0.014494320285235738	-0.011622671987399028	-0.0010761788833694222	0.019276478132546765	63.49375350086402	2.1002272308295495	65.5939808027119	16.39741909419393	0.9139978682741207	235.0	-1216.595582442059	449.26061933689857	1220.0	82.436594247818	14.775659084320068	330.27291521490616	64.44984269142151	3.211092472076416	721.2433567771153	1548.0	48800.0
73200	1.5	60.0	27403.98858464802	-1286.5787362042113	446.2813659501671	1220.0	0.04180266814279529	22.921918012124557	-0.04024773511163731	0.001624368030845405	-0.0016145597844510423	0.03637539129332699	35.56102689783623	2.017578925224061	37.57860577360113	9.393036908291755	0.9156006631699016	329.0	-840.2439164562978	413.6490678272545	1220.0	114.89875817298889	19.36788296699524	377.9452825316011	91.48209547996521	4.048779726028442	766.2444193268251	1547.0	73200.0
97600	1.5	80.0	35769.0004525148	-969.8079523493079	418.2505933933391	1220.0	0.043997131124690836	21.728754680979826	-0.005708754419329316	-0.012789780997294692	-0.0008138825007490638	0.010029672092678854	19.116604155682495	2.0007538516470738	21.117357989575	5.278525616260286	0.9038532642607995	517.0	-713.0095090325253	384.5513781379155	1220.0	158.41351509094238	24.05137801170349	405.7979544976902	128.24289751052856	6.119239568710327	726.3951148859835	1546.0	97600.0
122000	1.5	100.0	43845.60461929828	-872.621530640218	403.83020833917385	1220.0	0.04502699260322557	21.20890053244115	-0.000816883648091807	-0.013288012059266736	-0.000635100983885781	0.011113529932001575	16.1803504304683	1.810929269866741	17.991279667996356	4.49718481809535	0.8820925266184706	705.0	-630.3743127429751	353.20037788366204	1220.0	194.0992932319641	28.51904797554016	427.78426581643026	158.04234838485718	7.5378968715667725	736.8028704817178	1545.0	122000.0
146400	1.5	120.0	51720.99370898339	-806.5277917866651	393.76945448425533	1220.0	0.04565793585465337	20.901997566937354	0.006469505794465227	-0.011761764925161499	-0.00024163366255094325	0.008832222519986131	14.588499754033199	1.4679159534738424	16.05641569989793	4.013862287744563	0.864853577093875	893.0	-573.9827475226143	328.17729338936306	1220.0	235.70517301559448	32.92987775802612	444.58106123493695	193.59807133674622	9.177223920822144	721.9814416447547	1544.0	146400.0
170800	1.5	140.0	59295.04007223996	-758.6842022845715	378.7023181628284	1220.0	0.0468664133921545	20.33724190994742	-0.02730017521497893	-0.007081012028527071	-0.0016113228831700927	0.019666643857837035	13.379417774525093	1.315857489058312	14.6952753269926	3.6722075140222605	0.8472841889300244	987.0	-405.85351361658286	197.89128123669423	1220.0	275.1187822818756	38.61733961105347	442.28836507192176	225.57373642921448	10.927706241607666	722.1943260520841	1543.0	170800.0
195200	1.5	160.0	65949.23839947121	-610.4819297902064	332.70991636156265	1220.0	0.05207458160845449	18.203226778064916	-0.010147260391757767	-0.009898367654928507	-0.0010438676992976185	0.005450279158701071	10.100374302965523	0.8438658268844829	10.944240090694835	2.7350161589206516	0.818090411893865	1175.0	-312.2351561597229	104.46633245984214	1220.0	322.45418310165405	43.57742786407471	447.93832396180306	266.34252738952637	12.534227848052979	699.9507715646869	1542.0	195200.0
219600	1.5	180.0	71872.88962435964	-547.5149701730759	296.1825612444215	1220.0	0.05706394487162448	16.524200302830067	-0.0985892772912345	-0.0002782428191301042	-0.005641770739177951	0.022033486125168422	8.719873276162659	0.6587229345707184	9.378596219610666	2.3390072774379824	0.791155293266824	1269.0	-95.83865557600333	199.71830568297952	1220.0	355.2761330604553	48.05230379104614	457.00202211932094	293.80746364593506	13.416365623474121	714.7883044170687	1541.0	219600.0
244000	1.5	200.0	74899.06269817059	-423.9523481111311	151.30865369054726	1220.0	0.0965678879189288	9.355409251981627	-0.025954282654330443	-0.0071639941312977035	-0.0031981621710228335	0.0021775802179422976	5.8950650172030645	0.2773056486819654	6.172370663348666	1.539894503481845	0.7524382053537576	1457.0	-15.01172947844545	328.61941034719183	1220.0	386.91417694091797	52.45970869064331	465.1188618657346	319.5460116863251	14.908456563949585	729.5462407080568	1540.0	244000.0
