Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
6100	1.5	5.0	2328.365403884978	-1836.3498997199445	465.6730807769956	1220.0	0.01411272281631041	69.85804865693785	684.02524103835	-0.1252857254160622	0.9155433698755798	24.060781214940448	9.99302194981309	11.781117997404003	1.129103780525629	12.910221766643827	610.0	-1316.8742036913716	443.23076219153717	1220.0	22.489495754241943	4.4642579555511475	546.5633985074599	8.481734991073608	9.543502807617188	338.4143980859467	1549.0	6100.0
12200	1.5	10.0	4520.679302997365	-1350.222732592808	438.4627798224775	1220.0	0.0429208369105017	22.298706921423612	442.96731457319487	-0.3461614690843178	0.7605843962215986	41.951776854718325	20.813132426777813	13.98485957755417	2.5181616546189214	16.503021219128456	1220.0	-1076.2943561024995	413.63202753822407	1220.0	42.845268964767456	8.911472797393799	547.608696222153	14.84570598602295	19.088090181350708	359.5235835043395	1548.0	12200.0
18300	1.5	15.0	6630.829550628808	-1091.2667108369885	422.0300495262885	1220.0	0.04407745471144964	21.687335431377306	410.3637246554016	-0.4084576505251595	0.6444203037707532	43.50366892580127	20.005320079991083	12.784409648863992	2.838967827499887	15.623377430243572	1830.0	-721.6382317431429	372.9409683187547	1220.0	63.451581954956055	13.437132835388184	544.7590709769547	21.289459228515625	28.724989891052246	365.89426300089406	1547.0	18300.0
24400	1.5	20.0	8451.481759590817	-736.4249700859734	364.13044179240194	1220.0	0.05006591110714938	18.97367026557918	232.86703065966003	-0.3082765871193258	0.5726994151951837	42.04239405022294	13.76359116132143	11.021129549135917	2.151236003832739	13.172365548180757	2440.0	-361.6009356031914	32.48368397519601	1220.0	84.14460277557373	17.966062784194946	543.2464595741054	27.75679302215576	38.42174696922302	368.6995815135637	1546.0	24400.0
30500	1.5	25.0	8609.977766518714	-358.52646445676595	31.699201385579464	1220.0	0.29698196421360373	2.367207845930845	10.103530936944665	-0.3772624897114079	0.5166233231298256	32.34401472435618	12.606155325154788	5.164443230042692	1.2003153152153134	6.364758540372382	3050.0	-509.05715477948047	171.3557289128953	1220.0	104.56179189682007	22.430339813232422	543.9061602090756	34.115288972854614	48.01616311073303	371.3559084400363	1545.0	30500.0
36600	1.5	30.0	9575.925540197066	-537.8726781333983	193.18955473567033	1220.0	0.03611854820757431	26.68660562581231	-110.14652255421778	0.07457111432354478	0.4994237583680234	33.746219362978074	-2.7594680427558353	8.198178110161765	1.6185204822509016	9.816698584986513	3660.0	-575.6021324491935	77.70290009728787	1220.0	125.31453704833984	26.998979091644287	542.2427251899619	40.52442789077759	57.79113006591797	372.27068391475717	1544.0	36600.0
42700	1.5	35.0	9950.16007201656	-575.0934007819279	74.84690636389912	1220.0	0.1767686620397012	4.657111325396612	-13.476910103735351	-0.44052089868479827	0.4657732884414859	33.09246699223754	3.467415729702497	8.066931471082025	0.712299612604203	8.77923108710618	4270.0	-506.8406519720146	291.24012607616373	1220.0	145.89784979820251	31.452916145324707	543.0339088777573	46.92415976524353	67.52077388763428	373.10520122728275	1543.0	42700.0
48800	1.5	40.0	11446.154369968834	-512.931541475558	299.1988595904546	1220.0	0.025342919003728873	38.458753739175165	-39.530188048472205	0.08254829662714576	0.4316454944551967	31.715329329693876	-0.19805132896547825	6.549226376463161	0.6954596855112759	7.244686055965111	4880.0	-514.1563890934983	234.4624938350586	1220.0	166.454265832901	35.91603636741638	543.4898160897527	53.30631470680237	77.23191475868225	373.8368461087725	1542.0	48800.0
54900	1.5	45.0	12633.817908549085	-512.2808811252423	237.53270771605017	1220.0	0.07113252205509486	13.058267176657418	5.213852544715162	-0.3700199395578474	0.42237653004341424	30.124651921381723	2.5137168087553787	5.185506855562085	0.8101966067904333	5.99570346054484	5490.0	-495.4055601971844	212.66445247218476	1220.0	186.895015001297	40.30709743499756	544.8172008767053	59.62095284461975	86.96696472167969	374.5192708339661	1541.0	54900.0
61000	1.5	50.0	13700.613584032259	-495.3612073154721	213.35913509663473	1220.0	0.07718718705494536	11.955518113234964	13.421788168832903	-0.07108964918593537	0.3821330717841133	30.22578382961085	3.3690333405479085	5.1655618273821	0.5752916709321436	5.740853496653133	6100.0	-471.6927117340865	171.68409576793323	1220.0	207.64828181266785	44.816776514053345	544.4389779427535	66.10288286209106	96.72862243652344	374.62037759911954	1540.0	61000.0
67100	1.5	55.0	14503.244778474953	-469.76956189336187	160.52623888853893	1220.0	0.09621503130653007	9.393386422274443	-0.06267807853759297	-0.16765298904835796	0.37023439593002455	27.109085952258503	2.6022709975477123	4.069573395174056	0.5822191695209412	4.651792569629485	6710.0	-421.6665732667227	71.11615644419905	1220.0	228.0976128578186	49.22490358352661	545.252464628131	72.44681406021118	106.42589521408081	375.1270960910289	1539.0	67100.0
73200	1.5	60.0	14860.44852525475	-420.31438034843706	71.44074935595945	1220.0	0.1673897255479831	4.974082320323448	-7.379122091512208	-0.3083298956364641	0.3436765424052226	25.58097761810801	3.046803518983183	3.438809102187389	0.5670337097078068	4.005842807058417	7320.0	-332.8599251721979	27.933701384223305	1220.0	248.73193097114563	53.635467767715454	545.9074231776231	78.843905210495	116.25255799293518	375.19901077690577	1538.0	73200.0
79300	1.5	65.0	15004.032458890091	-331.38919224669615	28.716786727068232	1220.0	0.2596396016989805	2.851492582242421	-8.19581139595782	-0.520262995423352	0.3007719481577639	21.998157404289874	3.583635478332393	2.468602786689508	0.5246813986145074	2.9932841916553294	7930.0	-456.6880320595764	7.649492562550585	1220.0	269.3235619068146	58.06371569633484	546.2964197105674	85.27704405784607	125.98280215263367	375.3671197932845	1537.0	79300.0
85400	1.5	70.0	15053.24258583816	-453.8198036155327	9.842025389613529	1220.0	0.3434153759641934	1.9119255280644922	-8.335162038490422	-0.19369692349898018	0.2700008803215184	20.68418696981963	4.240845074028269	2.550133571224136	0.4505787274143737	3.000712300910321	8540.0	-307.94329683994226	37.81414141084219	1220.0	289.7913978099823	62.492496728897095	546.6256236839407	91.63385009765625	135.66505098342896	375.71673067409563	1536.0	85400.0
91500	1.5	75.0	15250.166636876787	-310.9632697610536	39.384810207725714	1220.0	0.13582738387780852	6.3622856558851835	-29.000719511313534	-0.1399219326506994	0.25318609564030736	20.091540048943184	-1.2101104819383774	2.2487608707341997	0.42608112148085575	2.674841991311215	9150.0	-290.4074523548584	44.96705000225324	1220.0	310.3207297325134	66.94134593009949	546.7472978242463	98.0486831665039	145.33070063591003	375.9562481031003	1535.0	91500.0
97600	1.5	80.0	15460.457618061864	-292.3780170859129	42.05819623701554	1220.0	0.20706959721947332	3.8292941765859463	-14.231284440150027	-0.31890829511933405	0.23100158115390867	18.806916118059	0.947474178598553	1.348964271584494	0.2436301321768372	1.5925944030284886	9760.0	-310.00103467025554	31.428038884054477	1220.0	335.0691499710083	72.223956823349	540.5408636844293	105.47829532623291	157.3668978214264	371.3212284052346	1534.0	97600.0
103700	1.5	85.0	15619.178582303784	-315.07422347119666	31.744192848384035	1220.0	0.24622187911368965	3.0613775006495807	-9.3303614217727	-0.24745219134893562	0.20257403178781766	17.944726071592243	2.121045102838608	1.1382754623401372	0.20284045509627605	1.3411159169478482	10370.0	-284.3870167869241	36.88646540279859	1220.0	354.6021749973297	76.18939304351807	544.4327398212417	112.12318444252014	166.2895975112915	372.4685313377735	1533.0	103700.0
109800	1.5	90.0	15804.697827564301	-286.798541355873	37.1038490521034	1220.0	0.2047867738760613	3.883127855733537	-11.364832896091901	-0.13904708047076825	0.18524546166423886	17.386574047901593	1.2331729680788306	0.834046398518515	0.18379759764085035	1.0178439961593657	10980.0	-296.99040125496913	34.42313554684816	1220.0	373.3317518234253	80.15630769729614	547.9294301561438	118.0311644077301	175.14427971839905	374.519770328248	1532.0	109800.0
115900	1.5	95.0	15968.649804457895	-299.86480396664723	32.79039537871866	1220.0	0.24113033707165785	3.1471347493817223	-8.752016459918421	0.03813632516434693	0.18210150645893122	16.614630209813335	1.8959146949111447	0.7876382649433418	0.19426819439061346	0.9819064602011541	11590.0	-286.2133152616384	38.04160198538284	1220.0	391.95922684669495	84.09729480743408	551.2662459137965	123.79984140396118	184.06209063529968	376.46746134634003	1531.0	115900.0
122000	1.5	100.0	16158.8932878216	-287.7677089459112	38.048696672741	1220.0	0.20185079856128982	3.954154291821445	-10.354561833866313	-0.08620286379467519	0.17753831236088866	16.315173948006542	1.2031543333999435	0.7680808434720905	0.17940947679711164	0.947490318437092	12200.0	-298.86637019316083	34.69877833446176	1220.0	410.34664392471313	88.0093777179718	554.4863657186713	129.55755829811096	192.77970790863037	378.4855578000447	1530.0	122000.0
128100	1.5	105.0	16328.387317401455	-301.15134630061874	33.898805915971096	1220.0	0.23601443216472423	3.2370290275387004	-7.718947240172839	-0.039133745202886296	0.16960659828342387	16.052974488305296	1.9669506551789453	0.7096867082060363	0.16758963751499764	0.8772763465271614	12810.0	-258.6656310622071	48.23253948918375	1220.0	430.5634038448334	92.62281155586243	553.2114512535205	135.33087825775146	202.60971403121948	379.06070748216735	1529.0	128100.0
