Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/vf0	loss/vf1	loss/vf_total	loss/kl	loss/step_size	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
24400	1.5	20.0	9325.239274004627	-1828.1613234649972	466.2619637002314	1220.0	0.014095093144711269	69.94667553688483	-0.04100692319934751	-0.00736116988927904	-0.0006817527570319726	405.1057815551758	13.522127240896225	418.6279067993164	0.0004995420022169128	3.619738221168518	0.9032658785581589	80.0	-1722.0710833515907	465.09740635158164	1220.0	50.24144625663757	4.062079191207886	600.6776050258267	35.04289698600769	11.136470079421997	528.3745003570235	1549.0	24400.0
48800	1.5	40.0	18547.379149544548	-1722.4784164466244	461.1069937769959	1220.0	0.04091228810988151	23.442534167588413	-0.041148427552911926	-0.0073500078748622855	-0.0019841819681296613	118.91852521896362	1.3295819759368896	120.24810600280762	0.0006759058160241693	1.4201087355613708	0.8750986605882645	160.0	-1573.57991062884	454.8901244175111	1220.0	94.05952000617981	8.279601097106934	589.4003760284024	60.65223002433777	25.127688884735107	568.8977166290892	1548.0	48800.0
73200	1.5	60.0	27623.07565206138	-1590.1309779813391	453.7848251258417	1220.0	0.04114791465358024	23.30256814759362	-0.03128629369234659	0.003834152520084899	-0.0011295983875250215	40.058563232421875	1.567960500717163	41.6265230178833	0.0005245437641860917	2.5720199942588806	0.8831302374601364	240.0	-1630.8391539802667	463.9130235802939	1220.0	132.2572169303894	12.271183967590332	596.5194572368076	83.85637307167053	36.12965989112854	610.0710073704596	1547.0	73200.0
97600	1.5	80.0	36849.425106621515	-1652.6278329134675	461.3174727280067	1220.0	0.03896755612141632	24.66237402428238	-0.018866362789140112	-0.003197196246788714	-0.0008597630004345547	42.565834045410156	1.7745563983917236	44.3403902053833	0.0005527831526705995	3.362334132194519	0.9006817191839218	320.0	-1554.121773230288	463.06573886471017	1220.0	170.71780610084534	16.232569932937622	601.260308153419	107.74863719940186	46.73659896850586	631.7755820622237	1546.0	97600.0
122000	1.5	100.0	46046.95181626165	-1568.5072082395186	459.8763354820068	1220.0	0.03989429516672322	24.066240569506885	-0.014211239266657572	-0.003952350345798994	-0.0007246235936699819	44.04162883758545	1.8985444009304047	45.94017314910889	0.0005602812598226592	3.675995945930481	0.8998849242925644	400.0	-1479.9794980529139	460.5675314252966	1220.0	209.08656096458435	20.526583909988403	594.3512107761575	131.09050130844116	57.469475746154785	647.0089883638241	1545.0	122000.0
146400	1.5	120.0	55163.05701404088	-1511.9462861635259	455.80525988896136	1220.0	0.039856771630466165	24.08983941979909	-0.02437438913911194	-0.006919978272902583	-0.001247292518578469	42.61720943450928	1.9897432029247284	44.60695266723633	0.0009303378028562292	2.4493876099586487	0.8509511798620224	480.0	-1350.6523302680448	452.07501724203166	1220.0	254.34410214424133	24.908601760864258	587.7487680983356	158.51970505714417	70.91579532623291	638.0878275392071	1544.0	146400.0
170800	1.5	140.0	64099.062439014524	-1379.8555932723707	446.8002712486821	1220.0	0.040221637110584935	23.862240123409467	-0.023836423496669923	-0.0038618788764750445	-0.0011140710084952266	35.80967140197754	2.108576774597168	37.91824722290039	0.0005937807000009343	2.2444885969161987	0.8203674405813217	560.0	-1264.2396204908184	439.62688065656005	1220.0	296.2657992839813	28.791695833206177	593.2266059959279	185.77296710014343	81.70113635063171	638.5664922190621	1543.0	170800.0
195200	1.5	160.0	72819.6944806591	-1308.972153640457	436.0316020822289	1220.0	0.04074801544961899	23.541072466127925	-0.016435056408319326	-0.00715394634402311	-0.0009612050336396116	33.16915464401245	2.1491613388061523	35.318315505981445	0.0007394845015369356	2.706000864505768	0.8372807055711746	640.0	-1108.9323205203261	421.1879254317348	1220.0	350.47691893577576	33.07562971115112	590.1626112780863	219.8554723262787	97.54581689834595	614.9943513993011	1542.0	195200.0
219600	1.5	180.0	81212.03733120166	-1157.2280309533605	419.6171425271274	1220.0	0.04178958365822586	22.929408059636412	-0.03326080523980934	-0.006953546776680142	-0.001680540972293365	27.33373737335205	2.198673903942108	29.532411575317383	0.0007131871971068904	1.755208969116211	0.8182444721460342	720.0	-941.5734942022713	387.4087675617435	1220.0	399.21468806266785	37.355228900909424	587.8695070575616	249.28862118721008	112.57083797454834	606.8654402698214	1541.0	219600.0
244000	1.5	200.0	89212.28198619753	-1039.3117841249054	400.0122327497937	1220.0	0.04319949511520394	22.148418687144627	-0.017712449562415244	-0.007154457648284707	-0.001074237800341965	23.56083059310913	2.0907583236694336	25.651588916778564	0.0008373793680220842	2.4609124660491943	0.7995186299085617	800.0	-814.2343766540077	365.10425117403184	1220.0	449.15976309776306	43.73792004585266	557.868320542455	278.0140075683594	127.40783548355103	601.8422642530342	1540.0	244000.0
